topic,accuracy,macro_f1
Climate & Renewable Energy,0.9531604775507214,0.889486132648446
Economy & Poverty,0.9190887891502861,0.9141384083080398
Education,0.9109133013105616,0.9022040930709043
Inflation,0.8906204906204905,0.766910866910867
Migration,0.9540675219769297,0.9093747881505478
Military & War,0.9153894000485451,0.8904062704927256
Pension,0.8939690114562779,0.8537051479980186
