run,accuracy,f1_macro,f1_weighted
1,0.8921052631578947,0.8920985379975206,0.8920985379975207
2,0.8921052631578947,0.8920147769252629,0.8920147769252629
3,0.8921052631578947,0.89208658008658,0.8920865800865801
4,0.8973684210526316,0.8971111990502572,0.8971111990502573
5,0.9026315789473685,0.9025769302725213,0.9025769302725213
